qiymet,otaqlar,sahe,mertebe,erazi,sheher,gun ve vaxt,parsed_at
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:38:06.298961
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:38:06.299300
175 000,36.5 m²,,,Abşeron r.,Bakı,bugün 13:37,2026-07-15 13:38:11.090146
205 000,40 m²,,,Xırdalan,Xırdalan,bugün 13:36,2026-07-15 13:38:11.090677
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:38:11.091184
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:38:11.091684
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:38:11.092146
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:38:11.092618
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:38:11.093087
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:38:11.093844
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:38:11.094322
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:38:11.095441
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:38:11.096165
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:38:11.096748
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:38:11.097254
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:38:11.097759
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:38:11.098247
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:38:11.100588
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:38:11.101276
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:11.101830
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:11.102296
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:38:11.102996
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:38:11.103685
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:38:11.104207
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:38:11.104704
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:38:11.105743
175 000,36.5 m²,,,Abşeron r.,Bakı,bugün 13:37,2026-07-15 13:38:16.239074
205 000,40 m²,,,Xırdalan,Xırdalan,bugün 13:36,2026-07-15 13:38:16.239371
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:38:16.239708
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:38:16.240064
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:38:16.240431
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:38:16.240833
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:38:16.241204
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:38:16.241628
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:38:16.241986
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:38:16.242519
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:38:16.243084
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:38:16.243410
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:38:16.243741
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:38:16.244098
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:38:16.244480
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:38:16.244876
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:38:16.245382
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:16.246299
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:16.247147
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:38:16.247496
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:38:16.248000
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:38:16.248583
