qiymet,otaqlar,sahe,mertebe,erazi,sheher,gun ve vaxt,parsed_at
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:11.367635
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:11.368016
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:11.368325
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:11.368619
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:11.368897
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:11.369178
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:11.369453
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:11.369741
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:11.370013
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:11.370289
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:11.370555
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:11.370842
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:11.371138
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:11.371431
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:11.371830
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:11.372356
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:11.372908
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:11.373482
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:11.374230
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:11.374731
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:11.375209
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:11.375720
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:11.378949
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:11.379488
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:16.246965
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:16.247276
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:16.247780
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:16.248334
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:16.248821
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:16.249324
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:16.249829
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:16.250355
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:16.250890
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:16.251401
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:16.251867
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:16.252366
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:16.252850
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:16.253350
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:16.253836
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:16.254276
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:16.254662
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:16.255142
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:16.255607
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:16.256054
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:16.256364
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:16.256688
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:16.256980
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:16.257280
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:21.063129
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:21.063373
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:21.063594
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:21.063802
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:21.064010
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:21.064231
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:21.064445
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:21.064653
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:21.064862
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:21.065081
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:21.065290
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:21.065498
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:21.065705
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:21.065918
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:21.066125
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:21.066332
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:21.066532
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:21.066740
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:21.066963
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:21.067173
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:21.067502
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:21.067856
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:21.068174
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:21.068445
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:26.161578
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:26.161833
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:26.162061
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:26.162308
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:26.162520
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:26.162761
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:26.162975
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:26.163193
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:26.163408
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:26.163617
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:26.163843
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:26.164050
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:26.164286
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:26.164499
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:26.164727
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:26.164969
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:26.165231
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:26.165488
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:26.165723
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:26.165978
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:26.166230
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:26.166478
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:26.166749
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:26.167010
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:31.095187
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:31.095433
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:31.095650
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:31.095862
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:31.096071
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:31.096290
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:31.096581
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:31.096907
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:31.097163
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:31.097528
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:31.097799
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:31.098044
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:31.098298
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:31.098589
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:31.098868
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:31.099106
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:31.099358
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:31.099625
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:31.099896
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:31.100151
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:31.100430
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:31.100722
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:31.100989
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:31.101246
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:36.247036
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:36.247558
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:36.248059
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:36.248598
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:36.249127
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:36.249673
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:36.250174
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:36.250792
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:36.251297
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:36.251798
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:36.252293
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:36.253016
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:36.253597
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:36.254092
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:36.254592
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:36.255083
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:36.255566
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:36.256053
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:36.256530
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:36.257022
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:36.257493
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:36.257936
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:36.258378
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:36.259077
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:41.060411
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:41.060783
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:41.061033
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:41.061295
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:41.061536
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:41.061761
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:41.062006
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:41.062236
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:41.062463
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:41.062678
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:41.062888
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:41.063090
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:41.063292
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:41.063508
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:41.063709
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:41.063906
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:41.064116
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:41.064326
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:41.064529
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:41.064742
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:41.064953
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:41.065162
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:41.065369
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:41.065576
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:46.095235
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:46.095470
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:46.095688
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:46.095902
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:46.096250
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:46.096716
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:46.097121
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:46.097526
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:46.097882
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:46.098426
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:46.098889
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:46.099335
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:46.099664
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:46.100141
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:46.100627
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:46.101053
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:46.101515
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:46.101985
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:46.102413
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:46.102880
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:46.103381
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:46.103894
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:46.104341
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:46.104869
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:51.074942
400 000,2 otaqlı,76 m²,5/6 mərtəbə,Nardaran q.,Bakı,bugün 13:35,2026-07-15 13:37:51.075175
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:37:51.075414
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:37:51.075634
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:37:51.075874
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:37:51.076092
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:37:51.076299
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:37:51.076510
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:37:51.076711
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:37:51.076918
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:37:51.077125
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:37:51.077327
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:37:51.077532
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:37:51.077799
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:37:51.078014
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:51.078220
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:37:51.078444
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:37:51.078653
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:37:51.078855
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:37:51.079087
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:37:51.079315
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:37:51.079527
700 /ay,2 otaqlı,90 m²,13/19 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:21,2026-07-15 13:37:51.079728
146 000,20.2 m²,,,Şah İsmayıl Xətai m.,Bakı,bugün 13:21,2026-07-15 13:37:51.080002
120 000,2 otaqlı,48 m²,15/15 mərtəbə,İnşaatçılar m.,Bakı,bugün 13:36,2026-07-15 13:37:56.110319
